BENCH 8 REPORT:
ORIGINAL CELLS,900
ORIGINAL NETS,720

FEED-THRU CELLS,4748
FINAL NETS,5416
NUMBER OF DOGLEGS,104

LAYOUT DIMENSIONS (WxH),1044,2007

CELL AREA,117876,0.0562571
WIRE AREA,332159,0.158525
NUMBER OF VIAS,10744,0.00512765
EMPTY SPACE,1645273

TOTAL AREA,2095308
FEATURE DENSITY,0.214782


EXECUTION TIME,14.3485,s
