BENCH 7 REPORT:
ORIGINAL CELLS,500
ORIGINAL NETS,1000

FEED-THRU CELLS,6886
FINAL NETS,7830
NUMBER OF DOGLEGS,112

LAYOUT DIMENSIONS (WxH),1779,3066

CELL AREA,142149,0.0260613
WIRE AREA,1084807,0.198886
NUMBER OF VIAS,15613,0.00286245
EMPTY SPACE,4227458

TOTAL AREA,5454414
FEATURE DENSITY,0.224947


EXECUTION TIME,54.1391,s
