BENCH 3 REPORT:
ORIGINAL CELLS,180
ORIGINAL NETS,180

FEED-THRU CELLS,592
FINAL NETS,772
NUMBER OF DOGLEGS,0

LAYOUT DIMENSIONS (WxH),301,545
CELL AREA,16143,0.0984059
WIRE AREA,47019,0.286623
EMPTY SPACE,100883

TOTAL AREA,164045
FEATURE DENSITY,0.385029
