BENCH 5 REPORT:
ORIGINAL CELLS,720
ORIGINAL NETS,720

FEED-THRU CELLS,4748
FINAL NETS,5407
NUMBER OF DOGLEGS,122

LAYOUT DIMENSIONS (WxH),1035,2052

CELL AREA,111439,0.052471
WIRE AREA,390560,0.183895
NUMBER OF VIAS,10701,0.00503856
EMPTY SPACE,1621821

TOTAL AREA,2123820
FEATURE DENSITY,0.236366


EXECUTION TIME,15.1412,s
